Date,MMWR_week,Location,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average,Booster_Daily,Booster_Cumulative,Booster_7_Day_Rolling_Average
12/3/2021,48,DC,0,"1,173,103",863,0,"618,757",236,Admin,0,863,0,"457,985",459,0,78800,443
12/3/2021,48,DC,"3,201","1,173,103","2,662",980,"618,757",894,Report,"3,201","2,662","1,294","458,096",827,1356,78867,1294
12/2/2021,48,DC,0,"1,173,103","1,002",0,"618,757",275,Admin,0,"1,002",0,"457,985",524,0,78800,534
12/2/2021,48,DC,"1,870","1,169,902","2,204",619,"617,777",754,Report,"1,870","2,204",684,"456,802",643,876,77511,1100
12/1/2021,48,DC,"2,151","1,168,032","1,937",542,"617,158",665,Report,"2,151","1,937",769,"456,118",545,966,76635,975
12/1/2021,48,DC,"1,435","1,173,103","1,003",400,"618,757",276,Admin,"1,435","1,003",550,"457,985",525,829,78800,535
11/30/2021,48,DC,498,"1,165,881","2,087",108,"616,616",815,Report,498,"2,087",594,"455,349",491,372,75669,1039
11/30/2021,48,DC,"1,894","1,171,668",960,543,"618,357",274,Admin,"1,894",960,800,"457,435",480,935,77971,544
11/29/2021,48,DC,"1,480","1,169,774",992,496,"617,814",306,Admin,"1,480",992,600,"456,635",409,761,77036,617
11/29/2021,48,DC,"10,911","1,165,383","2,359","4,007","616,508",942,Report,"10,911","2,359","2,454","454,755",464,5488,75297,1166
11/28/2021,48,DC,0,"1,154,472","1,355",0,"612,501",664,Report,0,"1,355",0,"452,301",170,0,69809,600
11/28/2021,48,DC,701,"1,168,294","1,291",100,"617,318",431,Admin,701,"1,292",775,"456,035",382,220,76275,800
11/27/2021,47,DC,0,"1,154,472","1,887",0,"612,501",887,Report,0,"1,887",0,"452,301",230,0,69809,853
11/27/2021,47,DC,531,"1,167,593","1,368",111,"617,218",494,Admin,531,"1,368",488,"455,260",291,358,76055,875
11/26/2021,47,DC,0,"1,154,472","2,549",0,"612,501","1,220",Report,0,"2,549",0,"452,301",305,0,69809,1125
11/26/2021,47,DC,973,"1,167,062","1,625",276,"617,107",648,Admin,973,"1,626",459,"454,772",254,634,75697,978
11/25/2021,47,DC,10,"1,166,089","2,061",7,"616,831",858,Admin,10,"2,061",5,"454,313",250,7,75063,1178
11/25/2021,47,DC,0,"1,154,472","3,208",0,"612,501","1,529",Report,0,"3,208",0,"452,301",401,0,69809,1423
11/24/2021,47,DC,"3,203","1,154,472","3,723","1,591","612,501","1,805",Report,"3,203","3,723",395,"452,301",473,1419,69809,1633
11/24/2021,47,DC,"1,134","1,166,079","2,574",383,"616,824","1,069",Admin,"1,134","2,574",237,"454,308",307,896,75056,1440
11/23/2021,47,DC,"2,116","1,164,945","2,964",766,"616,441","1,230",Admin,"2,116","2,964",299,"454,071",331,1445,74160,1592
11/23/2021,47,DC,"2,402","1,151,269","3,722",998,"610,910","1,840",Report,"2,402","3,722",405,"451,906",464,1257,68390,1601
11/22/2021,47,DC,"3,578","1,162,829","3,251","1,371","615,675","1,386",Admin,"3,578","3,251",412,"453,772",356,2039,72715,1662
11/22/2021,47,DC,"3,878","1,148,867","3,929","2,061","609,912","2,074",Report,"3,878","3,929",396,"451,501",447,1526,67133,1574
11/21/2021,47,DC,"1,235","1,159,251","3,265",543,"614,304","1,389",Admin,"1,235","3,266",138,"453,360",357,747,70676,1647
11/21/2021,47,DC,"3,729","1,144,989","3,816","1,559","607,851","1,966",Report,"3,729","3,816",415,"451,105",448,1770,65607,1568
11/20/2021,46,DC,"2,333","1,158,016","3,253","1,190","613,761","1,394",Admin,"2,333","3,254",230,"453,222",358,1080,69929,1614
11/20/2021,46,DC,"4,631","1,141,260","3,781","2,331","606,292","1,978",Report,"4,631","3,781",530,"450,690",438,1909,63837,1520
11/19/2021,46,DC,"4,610","1,136,629","3,597","2,163","603,961","1,829",Report,"4,610","3,597",669,"450,160",426,2083,61928,1486
11/19/2021,46,DC,"4,022","1,155,683","3,295","1,746","612,571","1,452",Admin,"4,022","3,295",431,"452,992",359,2033,68849,1586
11/18/2021,46,DC,"3,610","1,132,019","3,695","1,929","601,798","1,856",Report,"3,610","3,695",503,"449,491",421,1472,59845,1499
11/18/2021,46,DC,"3,603","1,151,661","3,300","1,483","610,825","1,494",Admin,"3,603","3,301",403,"452,561",352,1840,66816,1547
11/17/2021,46,DC,"3,194","1,128,409","3,474","1,838","599,869","1,686",Report,"3,194","3,474",336,"448,988",403,1192,58373,1466
11/17/2021,46,DC,"3,863","1,148,058","3,246","1,513","609,342","1,487",Admin,"3,863","3,246",410,"452,158",337,1959,64976,1510
11/16/2021,46,DC,"3,851","1,125,215","3,232","2,640","598,031","1,493",Report,"3,851","3,232",286,"448,652",412,1072,57181,1412
11/16/2021,46,DC,"4,125","1,144,195","3,285","1,855","607,829","1,544",Admin,"4,125","3,285",472,"451,748",346,1939,63017,1480
11/15/2021,46,DC,"3,679","1,140,070","3,287","1,393","605,974","1,576",Admin,"3,679","3,287",418,"451,276",341,1929,61078,1445
11/15/2021,46,DC,"3,085","1,121,364","3,085","1,302","595,391","1,289",Report,"3,085","3,085",403,"448,366",421,1482,56109,1445
11/14/2021,46,DC,"1,151","1,136,391","3,297",580,"604,581","1,634",Admin,"1,151","3,297",148,"450,858",334,521,59149,1397
11/14/2021,46,DC,"3,485","1,118,279","3,043","1,642","594,089","1,281",Report,"3,485","3,043",341,"447,963",409,1432,54627,1408
11/13/2021,45,DC,"2,622","1,135,240","3,427","1,596","604,001","1,759",Admin,"2,622","3,428",232,"450,710",333,879,58628,1403
11/13/2021,45,DC,"3,342","1,114,794","3,145","1,288","592,447","1,283",Report,"3,342","3,145",444,"447,622",439,1672,53195,1496
11/12/2021,45,DC,"5,299","1,111,452","3,207","2,353","591,159","1,303",Report,"5,299","3,207",634,"447,178",463,2173,51523,1515
11/12/2021,45,DC,"4,061","1,132,618","3,361","2,037","602,405","1,689",Admin,"4,061","3,361",383,"450,478",340,1765,57749,1404
11/11/2021,45,DC,"2,060","1,106,153","2,930",736,"588,806","1,136",Report,"2,060","2,930",379,"446,544",448,1244,49350,1445
11/11/2021,45,DC,"3,224","1,128,557","3,480","1,432","600,368","1,722",Admin,"3,224","3,480",299,"450,095",349,1579,55984,1462
11/10/2021,45,DC,"1,502","1,104,093","3,375",489,"588,070","1,319",Report,"1,502","3,375",400,"446,165",528,813,48106,1590
11/10/2021,45,DC,"4,133","1,125,333","3,589","1,917","598,936","1,741",Admin,"4,133","3,590",472,"449,796",375,1749,54405,1523
11/9/2021,45,DC,"4,140","1,121,200","3,559","2,080","597,019","1,682",Admin,"4,140","3,560",441,"449,324",377,1691,52656,1545
11/9/2021,45,DC,"2,824","1,102,591","3,527","1,211","587,581","1,358",Report,"2,824","3,527",350,"445,765",529,1304,47293,1671
11/8/2021,45,DC,"3,750","1,117,060","3,518","1,795","594,939","1,600",Admin,"3,750","3,518",367,"448,883",384,1597,50965,1576
11/8/2021,45,DC,"2,787","1,099,767","3,437","1,246","586,370","1,312",Report,"2,787","3,437",320,"445,415",531,1224,45989,1656
11/7/2021,45,DC,"4,199","1,096,980","3,502","1,660","585,124","1,316",Report,"4,199","3,502",546,"445,095",555,2044,44765,1697
11/7/2021,45,DC,"2,065","1,113,310","3,546","1,454","593,144","1,557",Admin,"2,065","3,547",137,"448,516",403,561,49368,1639
11/6/2021,44,DC,"3,780","1,092,781","3,457","1,427","583,464","1,278",Report,"3,780","3,457",615,"444,549",572,1808,42721,1680
11/6/2021,44,DC,"2,154","1,111,245","3,413","1,111","591,690","1,426",Admin,"2,154","3,413",281,"448,379",405,887,48807,1640
11/5/2021,44,DC,"3,361","1,089,001","3,445","1,180","582,037","1,266",Report,"3,361","3,445",526,"443,934",547,1684,40913,1651
11/5/2021,44,DC,"4,896","1,109,091","3,380","2,264","590,579","1,366",Admin,"4,896","3,381",449,"448,098",424,2172,47920,1642
11/4/2021,44,DC,"5,174","1,085,640","4,300","2,021","580,857","1,583",Report,"5,174","4,300",942,"443,408",618,2255,39229,5604
11/4/2021,44,DC,"3,990","1,104,195","3,242","1,568","588,315","1,244",Admin,"3,990","3,242",479,"447,649",433,2004,45748,1606
11/3/2021,44,DC,"3,924","1,100,205","3,214","1,500","586,747","1,213",Admin,"3,924","3,214",490,"447,170",433,1904,43744,1582
11/3/2021,44,DC,"2,565","1,080,466","3,589",762,"578,836","1,302",Report,"2,565","3,589",408,"442,466",515,1379,36974,5282
11/2/2021,44,DC,"3,850","1,096,281","3,192","1,511","585,247","1,194",Admin,"3,850","3,192",489,"446,680",427,1905,41840,1573
