"Date","MMWR_week","Location","Administered_Daily","Administered_Cumulative","Admin_Dose_1_Daily","Admin_Dose_1_Cumulative","Series_Complete_Daily","Series_Complete_Cumulative","Booster_Daily","Booster_Cumulative","date_type"
2021-12-02,48,"DC",0,1173103,0,618757,0,457985,0,78800,"Admin"
2021-12-01,48,"DC",1435,1173103,400,618757,550,457985,829,78800,"Admin"
2021-11-30,48,"DC",1894,1171668,543,618357,800,457435,935,77971,"Admin"
2021-11-29,48,"DC",1480,1169774,496,617814,600,456635,761,77036,"Admin"
2021-11-28,48,"DC",701,1168294,100,617318,775,456035,220,76275,"Admin"
2021-11-27,47,"DC",531,1167593,111,617218,488,455260,358,76055,"Admin"
2021-11-26,47,"DC",973,1167062,276,617107,459,454772,634,75697,"Admin"
2021-11-25,47,"DC",10,1166089,7,616831,5,454313,7,75063,"Admin"
2021-11-24,47,"DC",1134,1166079,383,616824,237,454308,896,75056,"Admin"
2021-11-23,47,"DC",2116,1164945,766,616441,299,454071,1445,74160,"Admin"
2021-11-22,47,"DC",3578,1162829,1371,615675,412,453772,2039,72715,"Admin"
2021-11-21,47,"DC",1235,1159251,543,614304,138,453360,747,70676,"Admin"
2021-11-20,46,"DC",2333,1158016,1190,613761,230,453222,1080,69929,"Admin"
2021-11-19,46,"DC",4022,1155683,1746,612571,431,452992,2033,68849,"Admin"
2021-11-18,46,"DC",3603,1151661,1483,610825,403,452561,1840,66816,"Admin"
2021-11-17,46,"DC",3863,1148058,1513,609342,410,452158,1959,64976,"Admin"
2021-11-16,46,"DC",4125,1144195,1855,607829,472,451748,1939,63017,"Admin"
2021-11-15,46,"DC",3679,1140070,1393,605974,418,451276,1929,61078,"Admin"
2021-11-14,46,"DC",1151,1136391,580,604581,148,450858,521,59149,"Admin"
2021-11-13,45,"DC",2622,1135240,1596,604001,232,450710,879,58628,"Admin"
2021-11-12,45,"DC",4061,1132618,2037,602405,383,450478,1765,57749,"Admin"
2021-11-11,45,"DC",3224,1128557,1432,600368,299,450095,1579,55984,"Admin"
2021-11-10,45,"DC",4133,1125333,1917,598936,472,449796,1749,54405,"Admin"
2021-11-09,45,"DC",4140,1121200,2080,597019,441,449324,1691,52656,"Admin"
2021-11-08,45,"DC",3750,1117060,1795,594939,367,448883,1597,50965,"Admin"
2021-11-07,45,"DC",2065,1113310,1454,593144,137,448516,561,49368,"Admin"
2021-11-06,44,"DC",2154,1111245,1111,591690,281,448379,887,48807,"Admin"
2021-11-05,44,"DC",4896,1109091,2264,590579,449,448098,2172,47920,"Admin"
2021-11-04,44,"DC",3990,1104195,1568,588315,479,447649,2004,45748,"Admin"
2021-11-03,44,"DC",3924,1100205,1500,586747,490,447170,1904,43744,"Admin"
2021-11-02,44,"DC",3850,1096281,1511,585247,489,446680,1905,41840,"Admin"
2021-11-01,44,"DC",3949,1092431,1494,583736,497,446191,2038,39935,"Admin"
2021-10-31,44,"DC",1130,1088482,533,582242,155,445694,571,37897,"Admin"
2021-10-30,43,"DC",1927,1087352,695,581709,410,445539,899,37326,"Admin"
2021-10-29,43,"DC",3924,1085425,1408,581014,514,445129,1921,36427,"Admin"
2021-10-28,43,"DC",3796,1081501,1353,579606,479,444615,1834,34506,"Admin"
2021-10-27,43,"DC",3769,1077705,1363,578253,450,444136,1840,32672,"Admin"
2021-10-26,43,"DC",4063,1073936,1485,576890,482,443686,2001,30832,"Admin"
